mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22209000,G25247,,LM,2014/04/03 15:42:00,2014/04/03 15:45:00,0,2014/04/03 15:41:00,2014/04/03 15:45:00,0,LATE,Network Rail,EUS,TRI
train,12259320,G25467,,LM,2014/04/03 15:46:00,2014/04/03 15:46:00,0,2014/04/03 15:46:00,2014/04/03 15:45:00,0,EARLY,Network Rail,BHM,EUS
train,22209000,G24113,,LM,2014/04/03 15:53:00,2014/04/03 15:54:00,-1,2014/04/03 15:52:00,2014/04/03 15:54:00,-1,LATE,Network Rail,EUS,MKC
train,22209000,G25214,,LM,2014/04/03 16:00:00,2014/04/03 16:01:00,0,2014/04/03 15:59:00,2014/04/03 16:01:00,0,LATE,Network Rail,TRI,EUS
train,22209000,G25249,,LM,2014/04/03 16:11:00,2014/04/03 16:11:00,0,2014/04/03 16:11:00,2014/04/03 16:10:00,0,ON TIME,Network Rail,EUS,TRI
train,22209000,G24058,,LM,2014/04/03 16:15:00,2014/04/03 16:15:00,-1,2014/04/03 16:14:00,2014/04/03 16:13:00,-2,EARLY,Network Rail,MKC,EUS
train,22209000,G25488,,LM,2014/04/03 16:23:00,2014/04/03 16:23:00,0,2014/04/03 16:22:00,2014/04/03 16:21:00,-1,ON TIME,Network Rail,EUS,BHM
train,22209000,G25216,,LM,2014/04/03 16:31:00,2014/04/03 16:31:00,0,2014/04/03 16:31:00,2014/04/03 16:30:00,0,ON TIME,Network Rail,TRI,EUS
train,24674005,W82067,,SN,2014/04/03 16:33:00,2014/04/03 16:33:00,0,2014/04/03 16:33:00,2014/04/03 16:32:00,0,ON TIME,Network Rail,SCY,MKC
train,24674005,W82152,,SN,2014/04/03 16:39:00,2014/04/03 16:39:00,-1,2014/04/03 16:39:00,2014/04/03 16:38:00,-1,ON TIME,Network Rail,MKC,ECR
train,22209000,G25253,,LM,2014/04/03 17:11:00,2014/04/03 17:11:00,-1,2014/04/03 17:10:00,2014/04/03 17:09:00,-2,EARLY,Network Rail,EUS,TRI
train,22209000,G23948,,LM,2014/04/03 17:15:00,2014/04/03 17:15:00,-1,2014/04/03 17:15:00,2014/04/03 17:14:00,-1,ON TIME,Network Rail,MKC,EUS
train,22209000,G25446,,LM,2014/04/03 17:28:00,2014/04/03 17:30:00,0,2014/04/03 17:27:00,2014/04/03 17:30:00,0,LATE,Network Rail,EUS,TRI
train,22209000,G25144,,LM,2014/04/03 17:31:00,2014/04/03 17:31:00,0,2014/04/03 17:31:00,2014/04/03 17:30:00,0,ON TIME,Network Rail,TRI,EUS
train,24674005,W82069,,SN,2014/04/03 17:33:00,2014/04/03 17:33:00,-1,2014/04/03 17:33:00,2014/04/03 17:32:00,-1,ON TIME,Network Rail,SCY,MKC
train,24674005,W82153,,SN,2014/04/03 17:39:00,2014/04/03 17:39:00,-1,2014/04/03 17:39:00,2014/04/03 17:38:00,-1,EARLY,Network Rail,MKC,ECR
train,22209000,G25447,,LM,2014/04/03 17:41:00,2014/04/03 17:41:00,-1,2014/04/03 17:41:00,2014/04/03 17:40:00,-1,ON TIME,Network Rail,EUS,MKC
